# Enemy mastery-carrier ids dropped for having no resolvable encounter.
# These enemies were not listed as a source for any mastery, so they are
# omitted from the web data. Regenerated by extract_masteries.py; committed
# as a diffable artifact so a game update that changes the set shows up in git.
# One "<name>\t<id>" per line, sorted by name then id.

Abandoned reinforced drone	Mon_Drone_Enhanced_Rust
Abandoned transporter drone	Mon_Drone_Transport_Rust
Albino Negoori	Mon_JointTraining_Beast_Frog_White
Albus	Mon_Albus
Alisa	Mon_Alisa2
Anne	Mon_Anne
Ash	Mon_JointTraining_Beast_Tima_Black_Ash
Ash-covered Yasha Monarch	Mon_JointTraining_Beast_Spider_BlackWidow4
Ash-heap Crabmit	Mon_JointTraining_Beast_Crammy_Mutant
Bianca	Mon_Bianca2
Big Black Negoori	Mon_JointTraining_Beast_Frog_Black3
Big Flame Negoori	Mon_JointTraining_Beast_Frog_Fire3
Big Lava Dorori	Mon_JointTraining_Beast_Bat_Flame_Leader
Big Lightning Negoori	Mon_JointTraining_Beast_Frog_Lightning3
Big Mud Negoori	Mon_JointTraining_Beast_Frog_Normal3
Big Rainbow Dorori	Mon_JointTraining_Beast_Bat_Wind_Leader
Big Red Dorori	Mon_JointTraining_Beast_Bat_Red_Leader
Big Red Negoori	Mon_JointTraining_Beast_Frog_PoisonRed3
Big Rock Dorori	Mon_JointTraining_Beast_Bat_Rock_Leader
Big Venom Negoori	Mon_JointTraining_Beast_Frog_Poison3
Big White Dorori	Mon_JointTraining_Beast_Bat_White_Leader
Big Black Dorori	Mon_JointTraining_Beast_Bat_Black_Leader
Black Skeleton Mask	Mon_Gangster_SuitThin_Gun
Black Skeleton Mask	Mon_Gangster_SuitThin_Gun_Elite
Bruna	Officer_Bruna
Carter	Mon_Carter2
Danny	Mon_Gangster_DannyLaw
Dark Draki Baron	Mon_JointTraining_Beast_Dragon_Black3
Decoy Hologram	Mon_Kylie_Hologram
Defender Drone	Mon_Drone_Enhanced_Enhanced
Don	Mon_Don
Draki Hatchling with Eggshell	Mon_JointTraining_Beast_Dragon_Hatchling
Draki King	Mon_JointTraining_Beast_Dragon_Black3_Ground
Draki Queen	Mon_JointTraining_Beast_Dragon_White3_Ground
Dwarf Negoori	Mon_JointTraining_Beast_Frog_Glutton
Explorer Dorori	Mon_Beast_Bat_Wind_Explorer
Explorer Dorori	Mon_JointTraining_Beast_Bat_Wind_Explorer
Flame Draki Baron	Mon_JointTraining_Beast_Dragon_Flame3
Flame Draki Prince	Mon_JointTraining_Beast_Dragon_Flame3_Ground
Flower Garden Crabmit	Mon_JointTraining_Beast_Crammy_Tree
Frost Draki Baron	Mon_JointTraining_Beast_Dragon_Frost3
Frost Draki Prince	Mon_JointTraining_Beast_Dragon_Frost3_Ground
Glacier Tima	Mon_JointTraining_Beast_Tima_Glacier
Gold Molar	Mon_JointTraining_Beast_Tima_Yellow
Gold Tongue	Mon_JointTraining_Beast_Frog_Gold
Gold Wing	Mon_JointTraining_Beast_Bat_Gold
Golden Draki	Mon_Beast_Dragon_Gold2
Golden Draki	Mon_Beast_Dragon_Gold2_Elite
Golden Draki Baron	Mon_Beast_Dragon_Gold3
